"Negative Review","Positive Review","","","",""
" Small room Some staff weren t very knowledgeable about the area and transportation options "," Great selection for breakfast buffet Hotel location great Near Earls Court tube station Loved the huge garden where you could sit and eat or have a beverage Hotel has a bar high is convenient","","","",""
"No Negative","We had a lovely stay at K K the staff was wonderful and so thoughtful When we arrived at 7 30 am after travelling all evening they offered the use of the Wellness Center to take showers amazing fluffy towels and freshen up before we headed out for a day of sightseeing since we would not be able to check in until 3pm That really saved the day and we had an amazing day in London","","","",""
" Wifi is so weak and slow at night heating is weak although it is coming from a controllable central air conditioning bath is a bit small hotel overall is a bit dated breakfast is expensive"," Good range of foods and drinks for the breakfast location is just next to Earl s court station compact but clean equipment fully provided room friendly staffs","","","",""
" Not keen on the steps up to the front door is there an alternative entrance for mobility impaired "," Excellent staff breakfast was great with a good choice Room very comfortable Location is brilliant and there is very little street noise ","","","",""
"No Negative"," the staff were very helpful with directions and very welcoming The bar area was welcoming as a lone female on business I didn t feel overwhelmed eating drinking there The location to the tube was excellent","","","",""
"Rigid rules Our plane arrives in the morning so I requested early check in in the booking Acknowledgement for the request was sent by booking com but no reply or notice from the hotel We arrived and was greeted by a male tall staff with a stern face and harsh tone I started with good morning I know it s too early but I wonder if you ve got a room for us I booked 2 rooms but was just hoping just to get a room first as my father is disabled and he wetted his pants on the way to airport He replied without even looking at me room is guaranteed at 3pm Leave you baggage over there He then started tossing a baggage tag to me and several more The tags are in pairs 1 to tie on the bag and one for us to keep he untied the first pair and literally tossed the remaining 4 pairs to me as I realised it was self service I did the 5 bags by myself and before I could finish he already rushed me to take my tags I can t believe he could be so rude We brought my father downstairs to the loo and got him changed and went out We were so very exhausted and we couldn t help return to the hotel at around 12nn By then we were offered 1 room I saw the lady pulling the file from a stack and I am not sure if there actually were other rooms available already I let my parents in the room and it was soooo very small even by london s standard My bf and I waited at the lobby when we were being stared by the staff like we offended them We waited till 3pm to get our room and of course our room is not next to my parents even though I requested for it when I made the booking and no reply as well And during the check in I had to fill in exactly the same form again with the same info I have absolutely no idea why when the whole booking was made by me myself I understand that they were only following procedures but all these were just very inhuman and inflexible that exhausted guests in every way","Location is good 2 mins to Earl s Court station Loads of restaurants nearby Tranquil neighbourhood Clean Free printing stable wifi","","","",""
" Took several days to fix a broken window curtain so woken very early in the morning by sunlight Temperature fluctuations in the shower from scalding hot to cold was annoying "," Very comfortable beds Very quiet despite facing the street Excellent breakfast Great location Friendly staff Close to good restaurants and pubs ","","","",""
" Not much room in bathroom and room was basic for the price paid Aside from that the hotel was lovely "," Room was basic for the price we paid It was very hot in the room and not very much room in the bathroom Spotlessly clean and good location ","","","",""
" Its a hit and miss with the reception staff Sometimes I got lucky with someone who s friendly and provided excellent customer service but sometimes some of them were too green and not that trained The restaurant got very busy during breakfast time so the staff could get unfriendly "," I love the location and working Wi Fi","","","",""
" The double room we stopped in was a little small but was adequate "," The breakfast was excellent The garden at the back of the hotel was superb the children could run around let off steam whilst we had a drink in the garden The staff were very friendly Excellent location ","","","",""
"No Negative"," The room was compact but bright and nicely decorated Staff very friendly and helpful Peaceful street but very close to Earl s Court tube Would stay there again","","","",""
"Occasional quirky sound from the floor next door or 1 floor above quite disturbing Expensive"," Good location in Earls court quiet and comfortable ","","","",""
" the size of the room is small for Americans but pretty standard for Europe ","the bed was very comfortable and the linens crispy clean we paid 15pounds for the breakfast buffet which was good with fresh fruit eggs were delicious The price for breakfast is a little high I liked the free coffee in the lobby and the free apples service for breakfast excellent with lots of refills and frquent refills on the hot items which were also really hot","","","",""
" Let me think about it Nothing really ","Perfect location in South West London Very serene and close to the tube station about 250 meters Many restaurants around and nice walk to Hyde Park Very clean and decent place","","","",""
" The restaurant changed as we were about to leave and the new menu didn t look very appealing"," The room was spacious and very clean and the location meant it was incredibly easy for us to get about on the underground ","","","",""
" I can t think of a single thing "," Refurbished with lovely granite bathroom and very comfortable beds We had the classic twin which like most London hotels was small but adequate We suggest you book the breakfast included rate as it is a superior buffet Location is great as only a block away from the tube with the Picadilly line leading direct to Covent Garden and the theatres ","","","",""
" Having stayed here a few times before I thought I would have a pleasant stay as usual I was wrong For a business traveller small things like toiletry and wifi go a long way Those used to be good in this hotel Not when I visited this time I ll look for somewhere else for my next trip ","No Positive","","","",""
" The toilet was too low to the floor The room was much too hot and the Windows did not open "," The bed was very comfortable and the bathroom was lovely All very clean ","","","",""
" There was nothing in the mini fridge It was empty I would have liked to have had the option of drinking eating something later in the evening before going to bed without having to call room service "," The bed was definitely extra comfy slept like a baby The staff was friendly and helpful The printing center was also very convenient ","","","",""
" The toilet is slightly small though it contains everything The floor is wooden so you could hear people walking It will be noisy for people with difficulty of falling asleep But for travellers just coming to London this does not count ","Unlike the small hotels around this area this one is large and well organized The location is great which is only 3 munites walk from Earl s Court underground station which means it is in a quiet street but also is so easy to get food around The room is comparatively large considering the size of the hotel rooms in London It only takes about 40 munites going from Heathrow airport to the hotel and is very suitable for people with large suitcases and arrive in London not very early I will definitely prefer this hotel next time","","","",""
" The rooms were extremely small I don t think the breakfast was good value for money"," Loved the location so easy to access the subway and coffee shops and restuarants","","","",""
"No Negative"," Great location just round the corner from earls court station Easy access to all main attractions Comfy room Breakfast excellent choice Staff very friendly Would definately stay again on our next trip to London ","","","",""
" The room was too hot needed a fan over night to cool down no opening windows"," Very helpful staff willing to help Great breakfast and not rushed away as could sit and chat over breakfast Great choice of food in pleasant dining room ","","","",""
" Wifi is hit and miss not a huge deal but it isn t great "," This is an excellent hotel Location is amazing just minutes from Earl s Court tube station but so quiet you can t believe you are in the centre of the City We could easily walk to Kensington High Street Hyde Park Natural History Museum etc Excellent shower phenomenal water pressure Room was clean Bed was very comfortable Staff excellent very friendly and able to provide lots of recommendations for sights and restaurants Breakfast was very good The hotel restaurant is good too a good alternative if you are back late from a tour or too tired to go out We will be back ","","","",""
" Room very warm aircon was not cooling down the room Bathroom very small and toilet very low "," Good location Parking available although quite expensive Close to subway ","","","",""
"No Negative","staff are always joyful and helpful we were under booked totally my fault by 1 day and on site manager extended our stay in the same room for another thanks for that and also guiding us to the pick up point for our tour of highclare castle so kind of all of your staff thanks doug pat brugger","","","",""
" No water to drink in spa area Room on small side compared to advertised twin room Kettle plug dangling not obvious where to plug in "," Excellent breakfast Could open window in bedroom was quiet outside for London Lovely to have a garden Great mini spa after hectic city ","","","",""
"No Negative"," Reception area appealing Check in and out quick Bedroom good size nice and light lovely view of hotel garden Bed extremely comfortable and experienced a good few nights sleep Did not experience any noise disturbance Excellent choices for breakfast very enjoyable Staff very helpful providing us with information and travel advice ","","","",""
"Breakfast used to include a better selection ie smoked salmon more fruit selection champagne Now more English breakfast which means the cost is pricey at 15 pounds Wait staff not very friendly had to ask for coffee after they passed my table several times"," Location very convenient walking distance to tube station room clean and comfortable size staff very friendly in hotel ","","","",""
" The bathrooms are tiny but do work in as much as the showers are good but unless your very small it s impossible to dry oneself other than in the bedroom There is a lack Of plug sockets in the bedrooms and the bar area is soulless "," The parking is very reasonable for central London The beds are very comfortable and the breakfast is great ","","","",""
" No negatives "," Quiet position but close to tube station only two stops to major museums Staff friendly and efficient Room very clean and comfortable Excellent breakfast ","","","",""
" Rooms are small and would have preferred one overlooking the garden instead we were over the front door and the flag pole was noisy "," The location is perfect Close to the tube around the corner Great breakfast and good value ","","","",""
" My room on the fourth floor had only narrow windows at the top of the wall and those were partly blocked by the roof decorations so the room had a boxy closed in feeling ","I arrived early in the morning after a long trip from Africa I was able to take a shower and change clothes in the wellness centre which made the day fo me Perfect for 2 nights in transit between a long journey from Africa and a really long journey to NZ Quiet yet less than 5 minute walk to Piccadilly line at Earl s Court even dragging heavy suitcase","","","",""
" the bathrooms ar very small BUT everything you need is there They were also spotless"," great location very clean GREAT breakfasts nice big towels that were changed every day comfortable beds internet worked well Also a plus that the guests have access to a computer internet with a printer in the lobby ","","","",""
"Serving of coffee for breakfast had logistics problems Please give people a tip that they can ask for a pot to be filled with coffee to be able to serve themselves at acceptable frequencies Now for every cup we were dependent on staff not always available and not always 100 coffee focussed noticing our lack of java and distributing one cup at a time"," Good spacious enough room and bathroom Excellent location near Earl s Court underground station Very nice breakfast buffet Very good internet facilities with printer access even Very nice garden with seating facilities ","","","",""
" Nothing"," Great location Excellent friendly efficient staff Clean comfy bedrooms Hotel car parking at reasonable rates what more could you ask ","","","",""
"No Negative","My go to place when in London This was My 5th stay Great location within walking distance from Earl s Court underground station Piccadilly Line from Heathrow Staff is friendly rooms are up to date and clean","","","",""
" Nothing "," We loved the buffet breakfast and that the staff was so quick to provide us with breakfast bags when we left the hotel to go on tours Very quick responses to opening the windows and unlocking door when we inadvertently left key in room Also appreciated setting up taxi to go to airport ","","","",""
" Above Good location"," Put us next to a smoking room and two of us asmathic Staff were so rude when we brought it up They eventually moved us to a new room which was a massive downgrade and one of us had to sleep on a camp bed No apology was offered ","","","",""
" Bathroom a bit small","Brilliant location Hotel comfortable and clean Staff very friendly and helpful Lovely view over London from our 5th floor room Breakfast excellent Lovely garden Wouldn t hesitate to stay here again and recommend it Very good value for money","","","",""
" Room a bit too small a bit too warm with no way to lower the heat the closet smells so i wasn t that happy to put my clothes in there ","Great location 2 minutes from earl s court tube station nice room great shower good value for price","","","",""
" Breakfast was disappointing eggs were dry inside not cooked to order no hot dish for vegetarians"," Great location and parking Delivered wine to celebrate my wife birthday thankyou","","","",""
" things have changed slightly under new management no sparkling wine at breakfast cheese selection reduced no more nesepresso small changes but these were nice touches that are now lacking"," have stayed here before very comfortable good showers good breakfast ","","","",""
" Breakfast was a little disorganised staff a little inattentive Decent selection however of food "," Attended the chelsea v PSG game and opted to stay here after a great stay a few weeks ago Had a free upgrade which was a lovely surprise ","","","",""
" Parking was handy and safe but quite expensive "," The view from our room was lovely The breakfast was very tasty with plenty of choices and the easy location with the tube ride into Leicester Square just one stop away superb ","","","",""
" The bathroom was tiny and the pillows a bit lumpy but nothing terrible "," We stayed as a family to do a couple of days sightseeing Hotel was in a good area for getting around close to tube and with an underground car park Rooms comfy Good breakfast and a nice bar ","","","",""
" Shower head a little unpredictable in terms of direction"," Great selection at breakfast Extra comfortable beds and linen Great price through Booking com","","","",""
" Nothing could have been better It was perfect "," Never slept in such a restful bed the duvet and pillow were like sleeping in a cloud Breakfast was full of flavour with good quality produce and plenty of variety ","","","",""
" Cooked breakfast not very imaginative Too small plates Can t cook eggs Room not as big as I hoped for in exec room king size bed"," Good bed Clean ","","","",""
" The room is too warm cooling is not in use duting the heating season The hotel still uses its famous breakfast in marketing That is almost a fraud The breakfast is not nearly what it used to be It was okay but not a reason to come any more The location still is a reason "," Location just first class in many ways ","","","",""
" Room was too hot the windows do open but there were noisy revellers so we had to close the windows "," Breakfast is excellent Good choice and offer porridge which is always a bonus Staff recognised that we had stayed before and welcomed us back Waiting staff at breakfast were very attentive Bath towels were beautifully white and fluffy bed comfy and the room was spotless The room had a beautiful view of the gardens This is why we came back ","","","",""
" Nothing at all"," Everything Great location underground around the corner We had a room on the street side and it was very quiet Fantastic breakfast friendly staff beautiful room ","","","",""
" the sofa in the room was quite uncomfortable leaving me with a aching back "," the breakfast was the best buffet breakfast we have had everything hot and plenty of choice it was great to have water and fruit in the room a nice touch the bedding was lovely duvet really snuggly the pull out mirror in the bathroom really useful ","","","",""
" The bathroom is quite small but did have a tub"," the location the tea kettle the cosmetics quality linens Nice neighborhood attractive bar and lobby Fitness looked small but fine staff smiling Try the Blackbird Pub in front of the station to the right","","","",""
"Wifi does not work in the room its a shame for a big business city like london in 2016 to dont provide proper wifi Had to work from the toilet where the signal was here"," Clean price is correct","","","",""
" The only bad thing I can tell about teh hotel is that the room was just a little bit small Not much space to move "," Very helpful staff All premises were kept really clean A very good breakfast and you can eat all you can The garden at the bakc of the building really nice if the weather is good ","","","",""
" Room was cold the warm air heating struggled to keep up with a very cold spell in London and the thermostat controls are impossible to understand The hotel clearly has problems getting cleaning staff to work on Saturday Our room was not ready on time Having said that the staff were quick to find an alternative room albeit a cold one "," Conscientious staff who worked hard to make our stay a pleasant one Room and hotel was clean and well presented Good location near the tube for the museums ","","","",""
" Double glazing windows would have kept cold and noise outside But then this is a London old hotel "," Very helpful staff great choice of food at breakfast clean and recently refurbished close to underground station ","","","",""
" Insufficient UK power points for a couple on business without requesting UK adaptors Breakfast reasonable choice but a number of items were cool instead of hot Gym could do with an update Room was a little too compact "," Great secluded garden would be fantastic in summer Very helpful and friendly staff Bed room comfortable and VERY quiet ","","","",""
" Dated rooms rooms stated bath and shower but did not have both a dated hotel on rooms but bar was trendy setting Reception staff do not care when you have booked as you are captive there "," Very little","","","",""
"No Negative","Excellent base for short visits to London V good breakfast charming garden well maintained and equipped if small rooms Tube station 5 mins walk","","","",""
"Very definitely the breakfast Fruit selection limited Very little input from staff Many 4 star hotels will bring coffee or tea to your table The fried eggs were dry and inedible They clearly had been there too long and had not been replenished The outlook on to the garden was lovely"," Beds very comfy","","","",""
"The room for 3 person are not very big And another very bad surprise is with Booking Hotel i Made a reservation with a breakfast but when i arrived at hotel the breakfast didn t inclused"," The location is very good in near the subway The staff and breakfast are excellent","","","",""
" Bathrrom quite cramped breakfast was ok but not outstanding more fruit "," Very nice staff and comfortable and quiet room Very friendly welcome and very helpful desk staff ","","","",""
"No Negative"," Fine hotel very clean great breakfast and nice bar Staff very helpful Access to PC and printer proper access even from iPhone Very close to tube station Highly recommended ","","","",""
" My only thing I would say was the food during the evening and this is only because the choices were very limited I am a fussy eater and couldn t see anything I liked however the breakfast was lovely"," The room was great I couldn t ask for a better night sleep ","","","",""
" The sauna facilities were located in the same room as the massage tables and exercise bikes a little compact and restrictive with no changing facilities "," Staff were excellent very friendly and helpful We had a problem develop with the toilet running water and it was resolved within half hour of being reported Very efficient service in all areas ","","","",""
" nothing"," The location was great on the picadilly line so very easy to get to central London and Heathrow The staff were very helpful and the hotel was very clean and comfortable really enjoyed the stay ","","","",""
" Thin wall can hear everything on the hallway I would definitely avoid rooms right next to or across from the elevators as you really can hear people passing by "," Great location good breakfast clean and modern hotel Some mentioned the rooms to be tiny but I thought it was a good size room for London Room got a bit cold but the heater in the room worked really well unlike some of the reviews I read Also the front desk called to check in and see if the room was alright Nice touch of customer service ","","","",""
" Worst nights sleep in a long long time Pillows were awful gave me a bad neck Couldn t turn the heating off I barely slept due to how hot it was Bathroom was absolutely stifling ","No Positive","","","",""
" First night s stay was very hot because air conditioning had been turned off throughout the hotel Requested a fan for our room but did not receive one "," Cleanliness efficiency and ease of location Comparatively quiet to other hotels I ve stayed at in London too ","","","",""
" Front of room breakfast staff woman was very rude to us The scrambled eggs did not taste good at all Very buttery and watery "," The breakfast buffet had a good selection ","","","",""
" Nothing could have been better This is one of if not the best hotels I ve stayed in for it s attention to detail "," This is a perfect hotel I loved the huge fluffy towels comfortable be soft pillows perfect breakfast free newspapers the staff and the free newspaper the location is superb ","","","",""
"No Negative"," Often the reality is different from the website but in the case of Hotel George the photos really did portray reality I could not have been happier with every aspect of the hotel I chose this hotel because the average review was amazing This was spot on It s not a luxury hotel but it is a very stylish comfortable hotel that offered interesting little corners like the bar downstairs loved sitting in there before dinner Just a great welcoming stylish elegant hotel where everything just worked Who could want for more ","","","",""
" A little cold in the room and what seemed an older heating system needed to be switched on to warm the room up not as welcoming to the room when it feels cold as you go in "," Excellent location and very welcoming staff Great to spend a couple of nights at one of the most desirable Postcodes in the country ","","","",""
" Rooms to small smell coming from shower drain sugar not replenish after first night constant noise from other ac units by the time you got hot breakfast it was cold","No Positive","","","",""
" Room was too hot even with air con on full and heating right down "," Amazing location great value for money Staff friendly and helpful and breakfast delicious ","","","",""
"No Negative"," Location was absolutely perfect just round the corner from Earl s Court Tube Station but not at all noisy Room was spacious and offered really good value for money ","","","",""
"Bed in room 110 was appalling and needs replacement To compound this the staff were aware of the problem which means I was not the first to complain"," Location and staff","","","",""
" old building re furnished sound travelled from top floor down bathroom very small"," comfortable rooms and fluffy towels and plenty of them good to have a bath after a long day","","","",""
"very thin walls terrible nights sleep doors banging and water running no help with luggage offered dining room for breakfast far too warm for comfort reception staff in morning not offered to get taxi until i asked specifically to order write up on booking com implied 350 yards to Olympia it was not"," Pleasant bar area food good clean bathroom","","","",""
" Bed is too hard pillows were horrible AC didn t work well and was extremely hot even though it was at its maximum and slow wifi Wouldn t recommend it at all"," Location and the staff were friendly","","","",""
" The bathroom was far too small for an executive room The key of my room did not work properly "," Very good location nice quiet neighbourhood Friendly staff and good breakfast ","","","",""
"breakfast times could start earlier Mon Friday to allow for the travel time to get in to the city centre for work Room upgrades are not promoted at the reception or when booking in by hotel staff Wi Fi speed extremely slow The bar prices need to be more in line with the high street prices to attract more guest 5 00 for a pint of Larger is a little extreme"," reception staff were pleasant and helpful with all questions put to them ","","","",""
"New management means the small luxuries that made this hotel very special have disappeared it will surely not retain its 9 rating for long"," Comfortable hotel in convenient location","","","",""
" Didn t realise we had to book car parking due to limited spaces available We were lucky to have a space will book in future "," Close to underground station but in a quiet location Staff were excellent pleasant and helpful good choice for breakfast the bed was so comfortable we didn t want to get up ","","","",""
" nothing","most value for money staffs are very friendly and nice location is great actually i booked 3 hotels during this trip i think K K is most valuable absolutely will book again on next trip","","","",""
"No Negative"," Quiet location nice staff especially Jose and Svietlana good breakfast what more A little bit small bathroom not a big problem for me","","","",""
" Unfortunately there was a constant tapping noise in the room coming from within the bathroom The hairdryer did not work and only found out the morning I was checking out and didn t have time to do anything about it "," I stayed for one night and the hotel is beautiful in a great location Staff were very nice ","","","",""
" Lower ground floor room basement basically next to offices and directly opposite service lift which meant a lot of passing noise Window was a view of a stairway fire escape so lacked privacy with curtains open "," Good location nice friendly staff ","","","",""
" The hotel is nice but the facilities are poor the bed felt like IKEA The gym was a joke the hotel bar didn t know how to make simple cocktails"," The hotel is clean in good location the breakfast wasn t bad","","","",""
" The room was too hot despite the fact we turned down the thermostat "," The staff were very obliging and provided a good service Restaurant looks out onto a well kept garden which would be lovely in summer ","","","",""
" Rooms could have been a bit bigger Design and decor dated "," All clean and well maintained Staff excellent Ideal location for our visit to the Albrt Hall ","","","",""
" nothing"," Very close to underground Very close to shops and restaurants Quiet location Very nice modern hotel even with a garden Breakfast was very good","","","",""
"No Negative"," Very comfortable double room excellent breakfast very courteous and helpful staff very close to the Tube many good restaurants in the area walking distance ","","","",""
" Nothing really important"," Good breakfast Free wi fi Good bar Lovely room with a nice view to the hotel s garden Great bathroom with a very good shower Excellent location","","","",""
"No Negative"," Easy to get to from the tube station Staff friendly Room was clean The location was quiet Hotel was well presented Good bars and restuarants within walking distance ","","","",""
" Room was tiny and was literally next to a lift built behind the cupboards You can hear it clearly every time someone uses it Definitely ask for a room away from one There is a very annoying and fairly loud noise that randomly kicks in any time of the day Guess its the air conditioning but frustrating when you already have the lift making noises from your cupboard The pillows are far too soft your head sinks in and its not comfortable "," Good quiet location and only few minutes from a tube station Friendly hotel staff Clean room and bathroom with nice big shower ","","","",""
"No Negative"," A boutique style hotel It had a lovely garden Nice touch with a tablet in the room for wifi use Complimentary fresh fruit plate for us The breakfast was superb Gorgeous serving sparkling dishes and plates Quiet location but within minutes of bustle ","","","",""
" a bit petty but important extra socket near the bed for charging the phone computer there was only one for the night light "," very nice staff at the front desk ","","","",""
" This was my sixth visit in K K hotel George I brought this time my whole family with me and had told everybody there would be sparkling wine at the breakfast There was not sparkling wine anymore wich made us unhappy "," Near Earl s Court metrostation really easy to reach Staff was very friendly ","","","",""
"No Negative"," Very good continental breakfast excellent location close to earls court tube station The K and K has a very good value and totally refurbished I really recommend it ","","","",""
" The room was small and very warm even with air conditioning It was situated beside the lift even though I requested a quiet room The bathroom was even smaller ","The hotel is located only a 2 minute walk from Earls Court tube and situated on a quiet street Staff are welcoming friendly and knowledgeable The hotel and room was spotless Breakfast was buffet style with a good selection of both continental and English","","","",""
" Room a little on the small side though perfect for one person Food in room service could have been a little more interesting Good coffee though "," Excellent location helpful staff Comfortable room Heated bathroom floor and lovely towels nice and big ","","","",""
"room was adjacent to staircase on 4th fnloor Sounded like staff used them in he early hours pre breakfast"," style breakfast bar meals great staff ","","","",""
" Small rooms "," Perfect Location Great value Very comfortable beds We arrived very early and they allowed us to use the fitness center to shower freshen up which we thought was great Nice lobby Right next to Earls Court Tube stop so plenty of travel links Tube train bus etc plenty of shops and restaurants in the area ","","","",""
" English breakfast was not too good and a little cold However they do cater for lots of different nationalities not just the English and there was plenty of choice "," Lovely hotel with friendly staff Very comfortable bed and lovely bathroom with good powerful shower and underfloor heating We had a room overlooking the garden which was nice Excellent location Would definitely stay here again ","","","",""
" The room little bit small But for couple is enough in London you spend most of the time outside the hotel so it s ok There is no air condition in the room or it was not working It was very warm in the room we opened the window to get some cold air in January ","The price per night is very good relatively to other 4 stars hotels in London The location is very good 2 minutes walk from Earl s Court metro station at Piccadilly line one of the longest metro line in London direct from the Heathrow airport And to all the popular locations in London Near the Hotel there is 2 big supermarket 4 5 good restaurants and 3 cafes The hotel very clean modern and new The breakfast very good not too expensive for full English Breakfast 15 per person At any cafe you ll probably pay the same price or more The bathroom in the rooms big enough and clean This is my second time I m staying in the k k hotels in Europe they are very good","","","",""
" Bathroom toilet was very small which is fairly usual for London hotels "," Great location really near to Earls Court tube station and restaurants Friendly staff and wonderfully comfortable beds Nice hotel with modern touches Definitely stay again ","","","",""
"No Negative"," Very convenient location for Earl s Court Tube station Warm welcome from reception staff Good breakfast with plenty of choice bacon was crisp and tasty not like far too many restaurants who offer limp boiled bacon ","","","",""
"I filled in the request form to reserve a parking place although the site says reservation is not needed On arrival no reserved parking place because I only made a request Lousy no wifi on 5th floor no cleaning of room after complaining they told us the maid had gone home"," Location","","","",""
" Smallish room water pressure in the shower could have been better","Excellent location for the price less than 5 mins walking to Earl s Court underground station which has a direct train to the airport on the Piccadilly line good breakfast","","","",""
" Prior to booking this hotel we assumed you had disabled facilities but when we arrived there was no disabled facilities which made our stay very uncomfortable we will not be staying again ","The staff were friendly the meal was nice could not use front entrance like everyone else had to use underground car park and go up hill 20 metres and down 20 metres down its a accident waiting to happen","","","",""
"The standard room was really too small so they offered to upgrade us to a bigger room We really appreciated that because we were going to spend 6 days in that hotel But even the bigger room is not that big however we realized that this is the case in nearly all London hotels The room did not have central heating It was December and for people like us who are accustomed to warmer climate the room was really cold When we told about it they supplied an electric radiator for us which heated the room but the bathroom was still very cold As in all London central hotels this hotel is also not value for money If it were say in Munich or Milan it definitely would be half this price","Its central location its proximity to metro station 3 min walk to Earl s Court Underground Station free internet delicious and varied food for breakfast and most importantly the really friendly and helpful staff members were the plus sides","","","",""
" Only one luft was in operation during peak season Single room was quite small Double rooms looked larger ","Everything a boutique hotel should be Well located on a quiet side street 1 minute walk to Earls Court station Tasteful design throughout with great thought to efficency of design Really impressive My single room was quite small but well laid out I WILL go back Liked it the best of 30 hotels I ve stayed in London","","","",""
" See above tangent ","Staff were indifferent and sullen I was given the impression the guests there were an inconvenience I left two personal items behind after checking out and after ringing on 9 seperate occasions speaking to several staff members and emailing supposed head of housekeeping I got nowhere not once did anyone ring me back even after promising everytime they would and I never heard from them about my items Ever They also gave me a 20 year old folding cot bed with a 1 mattress to sleep on for 3 nights I Would have thought 1000 plus for 3 nights would have afforded me a bed Yes I complained and they relented eventually Although the location is fantasticly placed I would never ever recommend this hotel to anyone in fact stay well away","","","",""
"I booked a night with the wrong date canceled and rebooked for the next night The booking was made within 24 hours of the stay and the cancellation was not processed When I arrived they insisted I pay for the canceled booking I should have just walked away but thought I could resolve it They were rude and steadfast in insisting I pay for the canceled night I contacted Booking com to help resolve the situation Booking com were very helpful recognized I had made a mistake booking the wrong night and contacted the hotel to resolve the issue The hotel blankly refused Not very nice people at all I would never stay again","No Positive","","","",""
" We were promised the same room we had We left for six days and when we came back they offered us a room off the lobby by the elevator There was no division between the double bed and the single bed I had to insist they give us another room The manager did not want to go out of her way even though I insisted I finally said I would write a letter She gave us a double and single on a higher floor ","No Positive","","","",""
" Breakfast not the best of choices and although we were still in good time it was barely warm felt like leftovers"," Hotel staff very helpful hotel was spotlessly clean well maintained","","","",""
"in spite of the environmental friendly policy our towels were exchanged on the 2nd day although we had not dropped them on the floor which is an unnecessary waste of resources"," very convenient location great breakfast friendly staff lovely atmosphere very comfortable beds","","","",""
" It was kind of far from typical tourist attractions although most of them were within the reach of a single tube ride "," Staff was really kind and the facilities overall were really clean ","","","",""
"1 Didn t feel that the executive room was anything amazing bathrobes and a larger bed but room generally small we were in 307 2 Had to queue for breakfast both mornings could you not provide tea coffee for those who have to wait we waited 15 minutes 3 Too warm"," Bar area and Reception good","","","",""
"No Negative","We love everything about the Hotel George the location the facilities the staff and as this was our 4th stay in 5 years couldn t stay last year due to illness or it would have been 5 I think that speaks for itself","","","",""
"On my previous visit I had booked a car parking space which was key to my decision to staying at this hotel When I arrived there was a denial that I had made a booking This was resolved eventually but the receptionist to whom I had made the booking came up with some waffle that the hotel had not received the booking until the 16th Dec 2 days after my original stay However my booking had been made with booking com on the 6th Dec so one way or another someone cocked up but I was blamed for the failure in their communication Poor show"," On this occasion the room was larger than on my recent stay which made things more comfortable however the bathroom was tiny The d cor was OK perhaps functional is an apt description There was minimal noise from the street which is a blessing in such a highly populated area and the location adjacent to Earls Court station was ideal ","","","",""
"No Negative"," I went to London to visit my niece who was studying in London This hotel was ideally located in Earl s Court close to her apartment and the tube station Very nice hotel and staff Nice selection of food at breakfast Located in a very quiet neighborhood but just minutes from the shops and stores at Earl s Court ","","","",""
" The website is misleading the property looks a little tired and feels claustrophobic The parking charges on the full website were higher than on the mobile website which demonstrates a lack of attention to detail The bathroom was tiny "," Room was OK if a little small and this was a King Executive Tea coffee making facilities were missing but most importantly it was pretty quiet and comfortable I requested a room change from a shower to a bath which was accommodated ","","","",""
" Room was small bathroom very small Breakfast room too small people had to queue every morning Coffee and tea not up to standard Breakfast buffet was good "," Location was great lots of nice pubs and restaurants nearby very close to underground easy to get to from heathrow excellent bed ","","","",""
" Base in the shower was a bit slippery and stained "," Very quiet area nice to have a room with access to the garden I like the fact that it is a small hotel Plus I like the fact that it was a shower cubicle rather than over the bath shower ","","","",""
" Parking required a degree in physics to accomplish as the spaces are tight but better than nothing u guess"," Excellent location close to station location has parking which is very important","","","",""
"Having paid to upgrade was very disappointed as the bowl of fruit in the room was a plate with a few slices on it and we needed to remind them Having paid for an executive room expected executive service as was told no tables for available for breakfast They told us we would have to wait and only needed a table for 2 not 6 They know which rooms are which and could have given us priority having upgraded so we went out for a hot breakfast On the first day the cooked food was cold eggs bacon and beans the reception need to speak to firm they use for taxis to the station We were told 25 minutes to Liverpool Street it took one hour and five minutes and we had prepaid tickets on the train so could not afford to miss it We had to run to catch the train by the skin of our teeth it would have been expensive had we missed it to pay on the day The fare quoted was 26 we were charged 30 and taxi driver said there was no way we could have got there in 25 minutes I have emailed the hotel manager with my comments to give positive feedback but so far no acknowledgement nor reply Very disappointed overall"," Location staff and cleanliness ","","","",""
"Attic room with windows so high up we couldn t see out Bathroom although clean was dated a bit 1990s and mixer tap didn t work on shower so water was either scalding or tepid I didn t realise this still happened in London"," Great breakfast all the usual items just higher quality plus cava and nice touches like Austrian apple strudel ","","","",""
"The hotel arranged for a taxi to take us to the station at a fixed price of 25 00 it was a private firm and not a London black cab Although the driver was very pleasant and got us to the station on time the car itself absolutely stank of cigarette smoke Not pleasant"," Good staff comfortable bed and pillows although we were a little disappointed at the size of the executive bedroom Excellent choice of food at breakfast The bar area is a relaxing place to sit and have a drink with friends or just to sit quietly by the warm fire ","","","",""
" One of the staff at reception in the evening apparently has some issues as he was very rude to my wife The rest of the staff were pleasant and helpful ","2 minutes from Earl s Court tube Hotel has everything you would want in London Good breakfast comfortable room free wifi that works","","","",""
